City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
12,Riyadh,SA,93.34,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
26,Perry,US,90.84,light rain,37.2506,-83.1999,Hampton Inn & Suites Hazard
35,Bethel,US,90.77,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
36,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
46,Itaituba,BR,86.16,few clouds,-4.2761,-55.9836,Hotel Campos
56,Kashan,IR,88.14,few clouds,33.9831,51.4364,Manouchehri Traditional House
58,Hithadhoo,MV,81.25,overcast clouds,-0.6,73.0833,Scoop Guest House
61,Auki,SB,84.0,few clouds,-8.7676,160.7034,Auki Motel
67,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
68,Lewistown,US,87.82,clear sky,40.5992,-77.5714,Quality Inn & Suites
69,Doha,QA,93.18,clear sky,25.2867,51.5333,Doha Marriott Hotel
75,Kutum,SD,81.82,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
79,Mayo,US,85.46,clear sky,38.8876,-76.5119,Resorts Resource Group International
89,Luxor,EG,85.89,broken clouds,25.6989,32.6421,Iberotel Luxor
91,Orchard Homes,US,93.6,clear sky,46.8633,-114.0484,Broadway Inn Missoula
93,Basco,PH,84.43,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
96,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
116,Pasco,US,84.45,overcast clouds,28.292,-82.4165,Connection Community/Park
118,Sur,OM,86.83,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
121,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
124,Kavieng,PG,83.88,few clouds,-2.5744,150.7967,Nusa Island Retreat
125,Westport,US,90.28,clear sky,41.1415,-73.3579,The Westport Inn
126,Rodrigues Alves,BR,82.6,overcast clouds,-7.738,-72.6509,Pousada Aconchego
127,Kokoda,PG,80.94,broken clouds,-8.8785,147.7407,Daito Guest House
128,Abnub,EG,85.57,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
