City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,48.92,86,100,2.1,light rain
1,Byron Bay,AU,-28.65,153.6167,60.35,79,84,13.02,broken clouds
2,Provideniya,RU,64.3833,-173.3,46.27,77,96,6.8,overcast clouds
3,Adrar,MR,20.5022,-10.0711,94.96,28,93,10.96,overcast clouds
4,Kantemirovka,RU,49.7089,39.8592,59.45,94,19,7.07,few clouds
5,Hermanus,ZA,-34.4187,19.2345,53.37,68,66,4.61,broken clouds
6,Baghdad,IQ,33.3406,44.4009,84.11,23,0,6.91,clear sky
7,Mataura,NZ,-46.1927,168.8643,42.21,69,80,1.36,broken clouds
8,Ilulissat,GL,69.2167,-51.1,38.89,98,100,2.55,overcast clouds
9,Tarko-Sale,RU,64.9225,77.785,52.03,96,81,5.37,broken clouds
10,Bluff,NZ,-46.6,168.3333,40.8,82,43,5.01,scattered clouds
11,Punta Arenas,CL,-53.15,-70.9167,35.71,75,0,18.41,clear sky
12,Riyadh,SA,24.6877,46.7219,93.34,17,96,7.27,overcast clouds
13,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,93,100,13.8,light rain
14,Dikson,RU,73.5069,80.5464,48.52,79,82,10.22,broken clouds
15,Georgetown,MY,5.4112,100.3354,77.9,95,20,4.61,few clouds
16,Schneverdingen,DE,53.1167,9.8,52.88,87,2,2.01,clear sky
17,Saint-Ambroise,CA,48.5501,-71.3324,77.54,63,66,5.41,broken clouds
18,Omboue,GA,-1.5746,9.2618,70.34,86,90,4.27,overcast clouds
19,Cidreira,BR,-30.1811,-50.2056,62.33,97,57,9.78,broken clouds
20,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,88,100,9.22,overcast clouds
21,Busselton,AU,-33.65,115.3333,50.77,69,86,10.09,overcast clouds
22,Puerto Ayora,EC,-0.7393,-90.3518,70.56,88,78,5.99,broken clouds
23,Kruisfontein,ZA,-34.0033,24.7314,50.88,83,52,17.38,light rain
24,Armidale,AU,-30.5167,151.65,45.14,84,64,4.72,broken clouds
25,Boa Vista,BR,2.8197,-60.6733,76.98,83,75,0.0,broken clouds
26,Perry,US,37.2506,-83.1999,90.84,47,7,3.4,light rain
27,Barrow,US,71.2906,-156.7887,39.22,81,100,13.8,overcast clouds
